Training-set,CASF-2016,PDBbind2017-2020,CSAR
4ksp,,5lax,
4ksq,,6c7j,
4ktc,,6fap,
4ktu,,5owl,
4kup,,6g9u,
4kv9,,5kxi,
4kva,,5t66,
4kvm,,4j59,
4kw6,,6cwi,
4kwp,,6s7s,
4kww,,6g9d,
4kxl,,3ryj,
4kxm,,5uxf,
2hm1,,5tz3,
2hmb,,5thn,
2hmh,,4uw1,
2hmw,,6oh3,
2hny,,4zw3,
2hob,,6qlo,
2hog,,5j8m,
2hpa,,5y7w,
2hqu,,4xtp,
2hr6,,5wmt,
2hrm,,5mjn,
2hrp,,5uuu,
2hs2,,6dh4,
2hug,,6fg6,
2hvc,,6eqx,
2hvx,,5vcy,
2hwg,,6e2o,
2hwh,,5qah,
2hwi,,5hfb,
2hwo,,6ntj,
2hwp,,5vcw,
2hxl,,3kwa,
2hxq,,6bed,
2hy0,,5y2f,
2hyy,,3tsk,
2hz0,,6m8y,
3l8v,,6u6w,
3l8x,,5mg2,
3l9h,,5ajc,
3l9l,,6biz,
3l9m,,5kqd,
3l9n,,5zg0,
3lau,,3dd0,
3lbk,,6hv5,
3lbl,,6g15,
3lc5,,6gvg,
3lcd,,6mv3,
3lce,,4yh3,
3lco,,2n7b,
3ldw,,5jvi,
3le6,,5i3v,
3le8,,6npv,
3lf0,,5gsw,
3lfn,,5hzx,
3lfs,,6imi,
3lgl,,2obf,
3lgp,,5f1u,
3lhg,,6g33,
3lhj,,6f8x,
3lhs,,6g6t,
3li2,,6fa2,
3lik,,5dtt,
3lil,,5eva,
3lj3,,5iop,
4dh6,,6d4q,
4dhf,,5yr4,
4dhm,,5w4v,
4dhn,,5i2z,
4dho,,5j82,
4dhp,,6hsz,
4dhq,,4dld,
4dhr,,5vo2,
4dhs,,5m3a,
4dht,,5nad,
4dhu,,5tqe,
4di2,,5j8u,
4dij,,6pvz,
4dj7,,6do4,
4djh,,5t19,
4djs,,4ysi,
4dk5,,6h38,
4dk7,,6nfh,
4dk8,,4z8d,
4dkt,,6ufn,
4dlj,,5jzn,
4dma,,5nxy,
4dmn,,6sfc,
4dmy,,5n93,
4dn0,,6s9c,
4do3,,5ldk,
4dow,,5d2r,
1tvo,,6mqc,
1tvr,,5u2f,
1tyn,,5qcm,
1tyr,,6s9w,
1tze,,5voj,
1u0h,,5dhp,
1u2r,,5nzo,
1u2y,,5sz0,
1u32,,6hf5,
1u3q,,6dh7,
1u3r,,6bsl,
1u3s,,5vdr,
1u59,,6fni,
1u65,,6q6y,
1u6q,,5l17,
1u8t,,6msc,
1u9e,,6uhv,
1u9l,,5wtt,
1u9q,,6nfg,
1u9v,,5wf7,
1u9w,,5fdd,
1u9x,,5er4,
1udt,,5w19,
1udu,,2vo5,
1uef,,5edi,
1ugw,,5x27,
1ugy,,6ggg,
1uh1,,6dpx,
1uj0,,6s7k,
1ujj,,5c7n,
1ujk,,6em6,
1uk0,,3b5r,
1uk1,,6gxy,
1ukh,,5t1u,
1ukt,,5jna,
1ule,,4r06,
1ulg,,6sdc,
1umw,,6oco,
3th0,,6j9w,
3th8,,6htz,
3thb,,5jox,
3thd,,6g9s,
3ti1,,6d08,
3ti3,,5j6s,
3ti4,,6dj1,
3ti5,,5l2m,
3ti6,,5yjo,
3ti8,,5ee7,
3tia,,3ivg,
3tib,,5oku,
3tic,,5yqw,
3tiw,,6ghp,
3tiy,,5d4a,
3tiz,,5d1n,
3tjc,,5ect,
3tjd,,5ot3,
3tjh,,5gwy,
3tjm,,6qwi,
3tkh,,5tv1,
3tki,,5mmn,
3tkm,,5c20,
3tku,,6ak6,
3tkz,,6s57,
2c02,,6bqk,
2c0o,,5eq1,
2c1a,,6dil,
2c1b,,5j31,
2c1n,,5a3t,
2c1q,,5yc1,
2c2l,,6h4q,
2c3j,,5adq,
2c3k,,6ib2,
2c4f,,6g3q,
2c4g,,3b3w,
2c4v,,6szj,
2c4w,,6fyz,
2c57,,6gjy,
2c5n,,5y7j,
2c5o,,6h4p,
2c5x,,4qmv,
2c5y,,2vot,
2c68,,5dlx,
2c69,,5yun,
2c6c,,6max,
2c6e,,5gs9,
2c6g,,5nwd,
2c6i,,6r4k,
2c6k,,6br2,
2c6l,,5t4v,
2c6m,,6bln,
2c6n,,5zwh,
2c6o,,5ttg,
2c8w,,4tmn,
2c8x,,5m6h,
3ikc,,6ce2,
3il5,,5kqy,
3il6,,5hip,
3ilq,,6ea2,
3img,,5a0c,
3imy,,5dro,
3in3,,5eis,
3in4,,6huc,
3ind,,5v3y,
3ine,,5ulp,
3inf,,6b97,
3inh,,6ps9,
3iny,,2qbq,
3io7,,6gin,
3ioi,,6im6,
3iok,,5j27,
3ion,,6e5l,
3iop,,5nve,
3ipa,,5ntk,
3ipb,,6b1y,
3ipe,,6r7d,
3ips,,6c9p,
4pri,,1xd0,
4prj,,5ll9,
4prn,,5try,
4prp,,5whc,
4pry,,5uig,
4ps0,,6i5i,
4ps1,,6ma1,
4ps3,,6h34,
4ps5,,3su3,
4ps7,,6fob,
4ps8,,6pgp,
4psh,,6i0k,
4psq,,5j87,
4psx,,5xhr,
4ptc,,6poi,
4pte,,5jc1,
4ptg,,5jyp,
4puj,,4zx3,
4puk,,6cf6,
4pul,,5nbw,
4puz,,5vnd,
4pv0,,3ueu,
4pv7,,6uim,
4pvo,,5mev,
4pvt,,3nx7,
4pvv,,5mat,
4px6,,5u5k,
4unr,,6hhr,
4uns,,6dcz,
4urk,,5lyx,
4url,,6r0u,
4urm,,1nc1,
4urn,,5ti4,
4uro,,6k5r,
4uru,,6i10,
4urv,,6ez9,
4urw,,6jn4,
4urx,,6ps1,
4us4,,6oim,
4usi,,5tkb,
4usj,,6g2e,
4usw,,5n2f,
4utn,,5typ,
4utr,,5eij,
4utv,,3uew,
4utx,,5kgx,
4uu5,,5vcv,
4uu7,,5ji8,
4uu8,,5o1e,
4uua,,6bw8,
4uub,,5igl,
4uuq,,5ghv,
4uv8,,6cms,
4uv9,,6eb1,
4uva,,5sxk,
4uvb,,6p8z,
4uvc,,6r11,
2er6,,6g8n,
2er9,,5b5g,
2esm,,2y5h,
2etk,,3qgy,
2etm,,3vh9,
2etr,,4pqa,
2euf,,5wbr,
2evc,,5q14,
2evm,,6h3k,
2evo,,6t1i,
2ew5,,6cqt,
2ew6,,5swf,
2ewp,,6boy,
2ewy,,5nr7,
2exc,,5l2y,
2exg,,5n18,
2ez5,,6gvz,
2f01,,5m63,
2f0z,,5ywy,
2f10,,3fv2,
2f14,,5epl,
2f18,,3fur,
2f1a,,6g7a,
2f1b,,2n8t,
2f2c,,5oht,
2f3e,,6mjf,
2f3f,,5hfc,
2f3k,,6h51,
2f3r,,6qz8,
2f4b,,5tg6,
2f4j,,6q35,
4zg6,,5w4r,
4zg7,,5tnt,
4zg9,,6eaa,
4zga,,5u4d,
4zh2,,5h9r,
4zh3,,5ypp,
4zh4,,6oag,
4zim,,6giu,
4zj5,,5iv4,
4zjj,,5jhd,
4zjr,,6czd,
4zjw,,6n4b,
4zk5,,6axj,
4zla,,5l8o,
4zlo,,5owt,
4zly,,6bnt,
4zlz,,5n2x,
4zmf,,5q1i,
4zom,,6f8u,
4zpe,,2yge,
4zpf,,3dxg,
4zpg,,5h8g,
4zph,,5f63,
4ewr,,6f6s,
4exg,,2wca,
4exh,,6sfk,
4exz,,3kgp,
4eyj,,5o7n,
4eym,,5o3q,
4eyr,,6rih,
4ez3,,3oe5,
4ez5,,6oxs,
4ezj,,6dcy,
4ezk,,5cs6,
4ezl,,5fv7,
4ezo,,5m56,
4ezq,,5aeh,
4ezt,,4cig,
4ezw,,6dtn,
4ezy,,5eps,
4f08,,6m8b,
4f14,,6hcv,
4f1q,,4wn0,
4f1s,,5f1r,
4f20,,5hk2,
4f3h,,5ir1,
3k16,,6dya,
3k22,,6gf9,
3k23,,5jic,
3k26,,5hvs,
3k27,,6cct,
3k39,,1hnn,
3k3a,,5mpz,
3k3b,,5yz2,
3k3e,,6elp,
3k3g,,6hai,
3k3h,,6g2o,
3k3i,,5svl,
3k3j,,6ic5,
3k41,,6peu,
3k48,,6b4d,
3k54,,3uo4,
3k5c,,5jr6,
3k5d,,6fym,
3k5f,,5gx7,
3k5g,,6bau,
3k5k,,5vm6,
4x9w,,6g9m,
4xbb,,5kj2,
4xbd,,1igj,
4xbo,,6dj2,
4xc2,,5aqr,
4xcb,,5mw6,
4xct,,5gn7,
4xcu,,6eab,
4xdo,,5mo8,
4xe0,,5jf5,
4xgz,,5wg9,
4xh2,,5l2o,
4xh6,,6hx5,
4xhk,,5za2,
4xhv,,5zdp,
4xii,,6h7m,
4xj0,,5z4h,
4xjr,,2p4y,
4xjs,,6q8a,
4xjt,,5nz2,
4xkb,,5dxt,
4xkc,,5kby,
4xkx,,5h1e,
4xm6,,5dhf,
4xm7,,6bnl,
4yat,,6arj,
4yax,,5fyq,
4yay,,6r1k,
4ybi,,5e2l,
4ybm,,5swh,
4ybs,,6nlj,
4ybt,,6s4t,
4ycl,,6pyb,
4ycu,,6ar4,
4ycv,,5ual,
4ycw,,5nw8,
4ydn,,6bw5,
4ydq,,5o0e,
4yee,,5knt,
4yef,,6q8k,
4yff,,5zms,
4yfi,,6iot,
4yhf,,6ee3,
4yih,,4ui8,
4yjn,,5wpb,
4yk5,,6jsf,
4ykn,,5vqq,
4yl0,,5v8v,
4yl1,,5e3a,
4yl3,,5f2s,
4ylj,,5zo8,
4ylk,,6oxv,
4yll,,5q15,
2ga2,,5zh4,
2gbf,,6gop,
2gbg,,6c85,
2gbi,,5zk5,
2gc8,,6f5m,
2gcd,,5kql,
2gd8,,6b1j,
2gde,,6m8d,
2gdo,,5vd0,
2gej,,5fnu,
2gek,,5w5o,
2gfa,,5vc6,
2gfd,,5sve,
2gfj,,5dp7,
2gfk,,5fs5,
2gfs,,5mkj,
2gg0,,5kw2,
2gg2,,5a7j,
2gg3,,6qg7,
2gg5,,5ml3,
2gg7,,6gl8,
4bnv,,5kbf,
4bnx,,6nzt,
4bnz,,2n06,
4bo0,,5n7g,
4bo1,,5mra,
4bo2,,5nib,
4bo3,,6mlh,
4bo4,,5x5g,
4bo5,,6chh,
4bo6,,5znc,
4bo7,,6jax,
4bo8,,5o4z,
4bo9,,2cet,
4bpi,,5zde,
4bpj,,5e2m,
4bqt,,4odm,
4bqw,,6ift,
4bqx,,5u7i,
4bqy,,6fi1,
4brx,,5jxn,
4bs4,,5ze6,
4bs5,,5hva,
4bsq,,1s38,
4bt9,,5kya,
4btb,,2j62,
4bti,,5up3,
3me9,,5yc4,
3mea,,5w9g,
3met,,5q0v,
3meu,,6mrg,
3mg0,,6ox0,
3mg4,,5cls,
3mg6,,6cw8,
3mg7,,5ick,
3mg8,,5j6m,
3mj1,,5huy,
3mj2,,6rn7,
3mj5,,5hff,
3mke,,3nox,
3mkf,,5m29,
3mkn,,5cuu,
3mks,,5itp,
3ml4,,3nw9,
3mlb,,4w9l,
3mle,,6jao,
3mmr,,6b1c,
3mn8,,5jah,
3mnu,,4o62,
3mo0,,5t2l,
3mo2,,6qed,
3mo5,,6b41,
3mo8,,6ios,
3mp1,,5vds,
3mp6,,5z1s,
3mpe,,6udt,
3mpf,,5ml2,
3mpm,,6r8l,
4iaw,,5z7b,
4iax,,4qq4,
4ib5,,6qw8,
4ibm,,5qas,
4idt,,5j5d,
4idv,,6k4t,
4idz,,6bkw,
4ie0,,5hn0,
4ie2,,3r88,
4ie3,,5m9d,
4ie4,,6esy,
4ie5,,5tya,
4ie6,,6dxg,
4ie7,,6hm6,
4ifh,,2vkm,
4ifi,,6b1o,
4igk,,3nq9,
4igq,,5ov8,
4igr,,5mxk,
4iho,,6kqi,
4ii9,,5z68,
4ijl,,5oae,
4ijp,,5t35,
4ijq,,6hvj,
4ikn,,5u0g,
4ikr,,6nw3,
4iks,,6n82,
4ikt,,4dli,
4iku,,5zyk,
4im0,,5yco,
4imq,,2vl4,
4imz,,5dw1,
4inb,,6r0s,
1zkl,,5l8c,
1zkn,,6j0k,
1zky,,6bc9,
1zls,,6g2m,
1zlu,,6aqf,
1zlv,,6ha4,
1zlw,,2xj7,
1zm6,,5kbe,
1zm7,,5jgb,
1zom,,4mrz,
1zp5,,5f5z,
1zpb,,6c4d,
1zpc,,2fxs,
1zrz,,5b4l,
1zsb,,6ilq,
1zsh,,5mxo,
1zsr,,6pm9,
1ztq,,5odu,
1zub,,6n7y,
1zuc,,1r5y,
1zxc,,6nsp,
1zxv,,5nmf,
3dux,,5xhs,
3duy,,5bnm,
3dv1,,6mim,
3dv5,,5mo2,
3dvp,,5oax,
3dwb,,5j6l,
3dx0,,6i61,
3dxj,,6jon,
3dxk,,5j32,
3dxm,,6j06,
3dy6,,6ncn,
3dya,,6dn6,
3dz2,,6d1j,
3dz4,,6oxy,
3dz5,,6npu,
3dz6,,5lne,
3e0p,,5gmm,
3e0q,,5w6o,
3e1r,,5eyr,
3e2m,,5hog,
3e3b,,6hck,
3e3u,,5hmh,
3e4a,,5vc5,
3e6k,,5ok6,
3e6v,,5wbz,
3e7a,,5ceh,
3vfj,,5mod,
3vfq,,6hou,
3vg1,,5edb,
3vgc,,6r8w,
3vhe,,4qms,
3vhu,,6e3o,
3vhv,,5npb,
3vi2,,5ta2,
3vi5,,5etf,
3vi7,,6hmt,
3vid,,6g9n,
3vjk,,6izq,
3vjl,,5ot8,
3vjm,,6g9j,
3vjs,,6oqc,
3vjt,,2zb1,
3vnt,,5tqf,
3vo3,,5fue,
3voz,,6gg4,
3vp1,,5u06,
3vp2,,6h4s,
3vp3,,2p15,
3vp4,,6h9b,
3vqh,,4muk,
3vqs,,5tig,
3vqu,,5zk9,
3vrt,,3fk1,
3vru,,6r8i,
3vrv,,5isl,
3vrw,,6m9l,
3vry,,5f02,
3vs3,,5ods,
3vsw,,6nyh,
3vsx,,6s07,
3vtb,,5i8c,
3ex3,,6nvi,
3ex6,,6f9r,
3exf,,5yjp,
3exo,,5vp9,
3eyd,,5k1i,
3eyf,,5twx,
3eyg,,5wic,
3eyh,,6mm5,
3eyl,,6hry,
3eys,,4k77,
3eyu,,5sy2,
3ezr,,6bs4,
3ezv,,5zyg,
3f07,,5csp,
3f0r,,5a8z,
3f2a,,4mue,
3f35,,5uhi,
3f36,,5gn6,
3f38,,5hjd,
3f39,,3l4w,
3f3v,,3jya,
2vr0,,5z7j,
2vr3,,6g3a,
2vr4,,5w7x,
2vrx,,5f6v,
2vta,,6egs,
2vtd,,5es1,
2vte,,6cn8,
2vth,,6mbp,
2vti,,6fsd,
2vtj,,6mle,
2vtl,,6e6m,
2vtm,,6n95,
2vtn,,5x73,
2vto,,6h7z,
2vtp,,5knv,
2vtq,,5g2n,
2vtr,,6gjn,
2vts,,6aqq,
2vtt,,5o07,
2vu3,,4agn,
2vur,,5ncz,
2vv9,,5kap,
2vvo,,5wbp,
2vvt,,5vjn,
2vwf,,5fap,
2vwu,,1p1q,
4tuh,,5hu9,
4tv3,,5sym,
4tw6,,5yia,
4tw7,,6udv,
4tw8,,5njz,
4tw9,,2wtv,
4twc,,6e7v,
4twd,,5ipa,
4twt,,6a3n,
4tww,,5o9p,
4twy,,5hz9,
4tx6,,3l7b,
4txc,,5oah,
4txe,,6klk,
4txs,,6abx,
4ty1,,5vfd,
4ty8,,6cef,
4ty9,,5ads,
4tya,,4xk9,
4tyb,,5qtt,
4tyl,,6hk4,
3os3,,5xpp,
3osi,,5cso,
3osw,,5mnh,
3ot3,,5ntt,
3ot8,,5ev8,
3otf,,5a0b,
3otq,,5du8,
3otx,,6bir,
3ouh,,5tzy,
3oui,,6e7r,
3ovx,,5moq,
3ovz,,6msy,
3ow3,,6moo,
3ow4,,4ycm,
3ow6,,6dgy,
3owb,,5hzn,
3owd,,5h4j,
3owk,,6dpz,
3owl,,6dhu,
3oxc,,2rvn,
3oxi,,5zk3,
3oxz,,6q60,
3oy1,,6e8k,
3oy3,,5ng9,
3oyl,,6eda,
3oyn,,6jjm,
3oyp,,6qxu,
3oys,,5ggz,
3bt9,,4gr0,
3btc,,5tyn,
3bti,,5jfu,
3btj,,5nk6,
3btl,,6hx8,
3btr,,5elw,
3bu6,,6hvs,
3bu8,,6fs0,
3bum,,6ocq,
3bun,,5mrp,
3buo,,6i67,
3buw,,5lhg,
3bux,,5evd,
3bv2,,5aqo,
3bv3,,6o9b,
3bwf,,6f1w,
3bwk,,3n86,
3bx5,,5wej,
3bxs,,6hhg,
3bxz,,6ghh,
4ogn,,6hk3,
4ogt,,5aqn,
4ogv,,4u68,
4ohk,,6hjj,
4ohm,,5jsj,
4oho,,5h0e,
4ohp,,6e3g,
4ojq,,5y48,
4ojr,,5byz,
4ok3,,6n0q,
4ok5,,4des,
4ok6,,4nxr,
4okg,,1lbk,
4okp,,4j5e,
4olc,,5kr1,
4old,,2xy9,
4olh,,6r8o,
4omd,,6bl2,
4ona,,6bg5,
4onf,,5yu9,
4ono,,5mrm,
4oo9,,5ahj,
4ool,,5v82,
4oon,,4xg3,
4oow,,5t6j,
4op1,,5aqu,
4mbi,,5y6e,
4mbj,,6ffs,
4mbl,,6d15,
4mbp,,5nvc,
4mcb,,5eob,
4mcc,,6gcw,
4mcd,,5csw,
4mcv,,6o9c,
4md6,,6cjv,
4mdq,,6g8m,
4mdr,,6mlw,
4mds,,5gu4,
4mdt,,6afd,
4men,,5ocj,
4meo,,5v5n,
4mep,,5u69,
4meq,,5oh9,
4mex,,5wqd,
4mf0,,6p3w,
4mf1,,5ywg,
4mfe,,6esm,
3pn3,,5f3z,
3poa,,5f0c,
3poz,,6ql3,
3pp0,,5lb7,
3pp1,,6hrw,
3pp7,,5oy3,
3ppj,,6er4,
3ppk,,6g4n,
3ppo,,5vqs,
3pqz,,5y5n,
3pr0,,6fdt,
3prf,,6c8c,
3prz,,6o2p,
3ps6,,6rqk,
3psb,,4yqv,
3psd,,5jzb,
3psl,,5zqq,
3ptg,,6g02,
3pty,,6n55,
3puj,,5un9,
3puk,,5dv4,
3pup,,5ufp,
3w33,,6cyb,
3wf5,,5f1j,
3wmb,,6gnr,
3wv3,,5llo,
3zju,,6npf,
3zn0,,6mo9,
3zvv,,5g10,
4a50,,5ey4,
4afe,,5ota,
4aml,,5wys,
4apo,,6ep9,
4axm,,6qgg,
4b0g,,6jki,
4b7n,,5mwd,
4bbh,,6p86,
4bds,,6ew7,
4bnu,,6bmi,
4btl,,6anl,
4c1w,,5f2w,
4c94,,5elf,
4cfx,,6h4y,
4lkh,,6eu6,
4lkj,,6ee6,
4lkl,,5oh7,
4lkm,,6s43,
4lkt,,6h75,
4lm5,,6di1,
4lmn,,5vpm,
4lmu,,5fdc,
4ln2,,5y13,
4ln7,,4llx,
4lnb,,4pvx,
4lnf,,5uey,
4lng,,5z1c,
4lno,,6hh5,
4lnp,,5h3q,
4lnw,,6ncj,
4loj,,4ddh,
4lop,,5usf,
4loq,,5e0h,
4lp0,,5mtx,
4lp6,,6pvu,
4lp9,,6ggb,
4lpb,,5ofu,
4lpf,,5zdb,
4lpg,,6ba7,
4lph,,6h7u,
4lq3,,5wkm,
4lq9,,5hwu,
4lqy,,5fe6,
4lrh,,5lqq,
4lsj,,5u8c,
4lte,,6c4u,
4lts,,4wcf,
4luo,,5j9y,
4luv,,6mod,
4lv1,,6jmf,
4lv2,,6ck3,
4lv3,,6fel,
4raq,,5vqt,
4rcd,,6bil,
4rce,,6pve,
4rcf,,6j0g,
4rcg,,6ohd,
4rcp,,5k8o,
4re3,,5kmf,
4re9,,6r7j,
4res,,6rw1,
4ret,,6cee,
4rfy,,6dgo,
4rfz,,5fao,
4rg0,,4qac,
4rgd,,6f9g,
4rh5,,6o57,
4rhu,,6au2,
4rhy,,6aol,
4rio,,5mrd,
4ris,,5icp,
4rj3,,6fu5,
4rj4,,2w66,
4rj5,,5lgq,
3qxp,,5lz7,
3qzq,,6b5m,
3qzt,,5t90,
3qzv,,6eea,
3r00,,5j1v,
3r01,,6c7w,
3r02,,4zw8,
3r04,,5wkh,
3r0h,,5ewk,
3r0i,,6jay,
3r0t,,6a94,
3r0w,,5jlz,
3r21,,6q7a,
3r22,,6ce6,
3r2a,,6hvh,
3r2b,,5knr,
3r2f,,6uvv,
3r2y,,4y5i,
3r42,,5enj,
3r4o,,5vil,
3r5j,,5t1l,
3r5m,,3udh,
3r5n,,6o5x,
3r69,,5fq9,
3r6g,,5zk8,
3r6t,,5c2o,
3r7b,,6n4t,
3r7n,,6bnk,
3r7q,,5ha1,
3r7r,,5okt,
3r8i,,4agq,
3r8u,,5nhz,
3r8v,,6dk1,
3r8z,,6h7d,
3r91,,5hvt,
3r92,,5a7b,
3r93,,6fzg,
3r9d,,5gjg,
3r9h,,5emk,
2aov,,6iuo,
2aow,,3kv2,
2aox,,5uzj,
2aq7,,5o83,
2aq9,,5ylv,
2aqb,,5efb,
2asu,,5u00,
2ath,,5oqu,
2auc,,6p7p,
2aux,,5ofw,
2auz,,5kzi,
2avi,,5ega,
2avv,,6hk6,
2aw1,,6dvo,
2ax6,,4nxq,
2axi,,6bhi,
2ay1,,5kv9,
2ay2,,5zdf,
2ay3,,6eqw,
2ay4,,4ciw,
2ay5,,6qtx,
4b7q,,5llm,
4b7z,,5c1w,
4b80,,5trr,
4b81,,1qi0,
4b82,,5fog,
4b83,,5hlw,
4b84,,5f39,
4b85,,5ti7,
4b8o,,1c5z,
4b8p,,6p8a,
4b95,,6psb,
4b9h,,5qai,
4b9w,,6b5o,
4ba3,,5zyj,
4bae,,5dhq,
4bb2,,6gnp,
4bb4,,6gw4,
4bbe,,6gfs,
4bbf,,5usz,
4bbg,,5vsj,
4wkv,,5jm4,
4wlb,,5o1c,
4wm9,,5a5d,
4wmc,,6fdc,
4wmu,,5gja,
4wmv,,5ewj,
4wmx,,5dqc,
4wmy,,1lpg,
4wn1,,5ehr,
4wnk,,2qe4,
4wno,,5a3w,
4wnp,,5orv,
4wp7,,5dg6,
4wpf,,5z1r,
4wph,,5gmp,
4wpn,,6kjd,
4wq2,,6g07,
4wq3,,4nq6,
4wr8,,4ui6,
4wri,,5k7h,
4wrq,,6ckr,
4wrs,,6bkh,
4wsj,,5jv0,
4wsk,,6ee4,
1l7x,,5ous,
1la3,,5kr2,
1lb6,,5m7u,
1lcj,,5vr8,
1ld7,,6oxu,
1ld8,,6oi9,
1leg,,5k8n,
1lek,,5t36,
1lev,,4uhg,
1lf3,,5vcx,
1lf8,,6iso,
1lf9,,5nvh,
1lfo,,5dtw,
1lhc,,5n34,
1lhd,,5dp6,
1lhe,,6cvv,
1lhf,,5hyq,
1lhg,,5mn1,
1lhv,,6pdj,
1lhw,,5iz9,
1ljt,,6phr,
1lkx,,6b3v,
1ll4,,5f88,
1llb,,5ose,
4jnm,,5wg8,
4joa,,6i4x,
4joe,,5i4v,
4jof,,4mrw,
4jog,,5ks7,
4joh,,6n0m,
4joj,,6gjb,
4jok,,6b98,
4joo,,6mxb,
4jp9,,5ugc,
4jpa,,5ugg,
4jpc,,6oip,
4jpe,,5j75,
4jps,,5v3x,
4jq7,,5q0j,
4jq8,,5zqp,
4jql,,5emm,
4jr0,,6n7a,
4jr3,,6irt,
4jr5,,6h4z,
4jrg,,6mum,
4jrv,,5wa6,
4jsc,,5ih9,
4jsr,,6bec,
4jt8,,6i0r,
4jt9,,5j7w,
4ju3,,5kcb,
4ju4,,5nki,
4ju6,,6hjk,
4ju7,,5jf4,
4jv7,,6f9u,
4jv9,,6mob,
4jvb,,5w92,
4jve,,5ja0,
4jvi,,6ap7,
4jvj,,6eb2,
4qw6,,6e5g,
4qz5,,6p8y,
4rao,,5lwe,
4rj6,,6gu6,
4rse,,6m8q,
4tk1,,5xvu,
4ttv,,5kdr,
4tyo,,4ufg,
4u44,,6fmp,
4uco,,6c6o,
4unq,,5ime,
4uvu,,5l8a,
4w4s,,4zx4,
4wbo,,5ufr,
4wku,,6qw7,
4wsy,,5zgg,
4wz4,,5nhv,
4x3t,,4gfm,
4x9v,,5mwz,
4xm8,,5znr,
3zn1,,6od6,
3znc,,5nzp,
3zo1,,5ni8,
3zo2,,5dnu,
3zo4,,5fsy,
3zos,,6szp,
3zot,,5hvu,
3zov,,4ddk,
3zp9,,5w84,
3zpq,,6bfd,
3zpr,,3o9i,
3zpt,,6p5o,
3zqi,,5lxb,
3zqt,,4xg7,
3zrc,,5tv3,
3zrk,,2jdu,
3zrl,,6iin,
3zrm,,6ax4,
3zs0,,5xpi,
3zs1,,6c8p,
3zst,,5hm3,
3zsw,,5h08,
3zsz,,6f34,
3zt1,,6dnp,
3zt4,,1q8t,
3ztc,,5mgm,
3ztd,,6akw,
3ztx,,5ywx,
3zuk,,6mh1,
3zvt,,6hu1,
1my2,,6cis,
1my3,,5joh,
1my8,,5hwv,
1mzc,,6gub,
1mzs,,6afe,
1n0t,,5fqv,
1n1g,,6c2x,
1n1t,,4z22,
1n1v,,5ewa,
1n3w,,5ohy,
1n43,,5otc,
1n4m,,4zw6,
1n5z,,5j86,
1n7i,,5nu1,
1n7j,,6dvl,
1n7m,,6fcj,
1n7t,,2yfe,
1n8u,,6jad,
1n94,,6aa5,
1n95,,5ork,
4hrc,,5nwi,
4hrd,,5qb2,
4hs6,,5lcf,
4hs8,,6afl,
4hso,,6ega,
4ht6,,6ajg,
4htp,,3coy,
4htx,,5wii,
4huo,,5y6k,
4hup,,5i2f,
4hv3,,6dih,
4hv7,,5gmi,
4hva,,5h19,
4hvb,,5svz,
4hvd,,5w0i,
4hvg,,5wzs,
4hvh,,6q9w,
4hvi,,6nzr,
4hvs,,5fos,
4hw2,,1qf1,
4hw7,,1q8u,
4hwb,,5v5d,
4hwr,,1sqa,
4hwt,,6en4,
4hww,,6d1d,
4hxj,,5vp1,
4hxl,,6h0u,
4hxm,,5klp,
3h0e,,6h13,
3h0j,,5q10,
3h0q,,5qb0,
3h0s,,2x0y,
3h0v,,5tpx,
3h0w,,5ljt,
3h0y,,5mym,
3h0z,,6om4,
3h1z,,5kmh,
3h21,,6afr,
3h22,,1z9g,
3h23,,6hsk,
3h26,,6tld,
3h2a,,6b1w,
3h2c,,6h4r,
3h2f,,5vd1,
3h2m,,4ql8,
3h2n,,6gf3,
3h2o,,3ao4,
3h3c,,5wb3,
3h52,,5yc2,
3h59,,6qhc,
3h5s,,5jzs,
3h5u,,1k1i,
2pjb,,6hhp,
2pjc,,5tys,
2pjl,,5knx,
2pjt,,5a54,
2pks,,6el5,
2pl0,,5vb6,
2pl9,,5wmg,
2pll,,5m4c,
2pmc,,5cuh,
2pmn,,6oy0,
2pnx,,5ttw,
2poq,,5ksx,
2pqj,,6fmc,
2pr9,,5btv,
2pre,,3ozs,
2pri,,5tg5,
2prj,,6cyc,
2psj,,6i16,
2psx,,5ws3,
2pt9,,5oei,
2pu0,,6cdp,
2puy,,6qto,
2pv2,,5fl1,
2pv3,,1kel,
2pvn,,6chq,
2pvv,,5dyw,
2pvw,,4ufu,
2pze,,5mos,
2pzi,,6h3q,
2pzy,,6gxq,
2q11,,5jdi,
2q15,,5wzr,
2q1j,,5t6p,
2q1l,,5csx,
2q2c,,5ubt,
2q2n,,6ed6,
2q2y,,5mte,
2q2z,,5fnd,
3snb,,5x9h,
3snc,,5t8r,
3snd,,5eue,
3sni,,6iph,
3snl,,5m4f,
3so6,,5upf,
3so9,,5wdl,
3soq,,5oh3,
3sou,,5kk8,
3sov,,5vl2,
3sow,,4j5c,
3spk,,6inz,
3sqq,,5lyn,
3srb,,5ovp,
3src,,6h9x,
3srg,,5hdz,
3srv,,6qgk,
3st6,,6d5h,
3stj,,6djd,
3sud,,5xn3,
3sv6,,4zy1,
3sv7,,5erg,
3sv8,,5eiw,
3sv9,,6d5g,
3svj,,6esa,
3svv,,2d3u,
3sw2,,6m9c,
